review,sentiment,cleaned_review
"Execrable Editing: This already short book should be about 50 pages shorter yet. It is laced with repeated quotes, phrases, and facts. The first time you read that Churchill carried a lance in one of history's last cavalry charges, it's fascinating. The second time, it's a surprise to see the statement repeated almost verbatim. The third time, it's an insult.Again and again (and again), this pattern is repeated. On one page, the same clause from a Churchill quote appears three times. Enough already. It's bad enough that the writer made this mistake, but it's unforgivable for the editor to let it pass for publication in this shape. By paring 50 pages off the manuscript, it would be just what it claims to be -- not a bad short rehash of the existing Churchill biographies.Save your money. Get another Churchill biography.",negative,execrable edit already short book page shorter yet lace repeat quote phrase fact first time read churchill carry lance one history last cavalry charge fascinate second time surprise see statement repeat almost verbatim third time insult pattern repeat one page clause churchill quote appear three time enough already bad enough writer make mistake unforgivable editor let pas publication shape par page manuscript would claim not bad short rehash exist churchill biography save money get another churchill biography
"file corruptions frequently: I'm using this with a 400gb Western Digital harddrive on Windows XP system. First, I had hard time formatting and partitioning the drive with this case using native Windows XP tools. I finally used some commercial software. I transferred a lot of files into the harddrive via this case but there are too many file corruptions. I almost lost my important data, fortunately I had backup in DVD. Between the famous and reliable harddrive and this made-in-china case, naturally I think it's this drive that responsible for the file corruptions.",negative,file corruption frequently use gb western digital harddrive window xp system first hard time format partition drive case use native window xp tool finally use commercial software transfer lot file harddrive via case many file corruption almost lose important data fortunately backup dvd famous reliable harddrive make china case naturally think drive responsible file corruption
"Not a strong fantasy novel...: This book showed some promise in the beggining. It didn't come true.Arien Mirida thinks he's cursed. His bride was killed by beasts gathered by an ancient curse he didn't know about at the time (and later his aunt managed to tell him about). So Arien decided he'll live unhappily ever after - until he discovers hope exists.Enter Cat Sabledrake. She falls inlove with Arien and helps him destroy the curse. Then she helps him resurrect his bride, and they part, unhappy again.So what's the catch?!I liked this book until I realized it was setting the course for a whole series, with Cat Sabledrake as main character. Well, I for one, won't read the rest of them. The one I liked, Arien, won't be re-appearing, so why follow all Cat's bad choices of lovers?! If it's true love, let it be free... at least in a fantasy novel, love should be true.Not in this one, though. Not to the end.",negative,not strong fantasy novel book show promise beggining come true arien mirida think curse bride kill beast gather ancient curse know time later aunt manage tell arien decide live unhappily ever discovers hope exist enter cat sabledrake fall inlove arien help destroy curse help resurrect bride part unhappy catch like book realize set course whole series cat sabledrake main character well one read rest one like arien appear follow cat bad choice lover true love let free least fantasy novel love true not one though not end
"A cultural gem as well as a language book: The really standout feature of this book for me is how easy and fun it is to read. I consider myself fairly capable and passably fluent in conversational Spanish, but not only did I learn completely new and unexpected phrases and colloquial vocabulary in Spanish that had previously been beyond me, but Pepa and Pili (the main characters in the dialogues) had me chuckling and at times guffawing throughout. The author has a great sense of humor and a flair for refreshingly real-sounding conversation - not the stilted repartee you usually see in language books.After reading this book you will no longer need to sneak peaks at the subtitles during Almodovar movies. This book is great fun to read and the exercises are quite challenging - a real help in moving your Spanish past the text book into the real world.",positive,cultural gem well language book really standout feature book easy fun read consider fairly capable passably fluent conversational spanish not learn completely new unexpected phrase colloquial vocabulary spanish previously beyond pepa pili main character dialogue chuckle time guffaw throughout author great sense humor flair refreshingly real sound conversation not stilted repartee usually see language book read book no longer need sneak peak subtitle almodovar movie book great fun read exercise quite challenging real help move spanish past text book real world
Lens was made in Taiwan.: Lens came packed nicely and promptly. But it was made in Taiwan and not Japan.Yet to use the lens. Will update when I do use it. This my first SLR lens.,positive,lens make taiwan lens come pack nicely promptly make taiwan not japan yet use lens update use first slr lens
"Incredible!: This book is very scary and very creepy..especially to me, someone who has paid lip service to Christ all his life but never really started to pay attention until a few months ago... for me it is a direct indication of where I could've fallen all too easily had I not made some good decisions... Highly recommended!!!",positive,incredible book scary creepy especially someone pay lip service christ life never really started pay attention month ago direct indication could fall easily not make good decision highly recommend
"A GREAT WAY TO LIVE!!!: The Secret, is a great documentary. If one is open to change and betterment of one's self, then this doc is for you.",positive,great way live secret great documentary one open change betterment one self doc
Touching story of faith and determination: I chose to read this book before seeing the movie. I'm glad I did. It was a great story of survival. I would recommend this book to just about anyone.,positive,touch story faith determination choose read book see movie glad great story survival would recommend book anyone
Dont buy: Dont buy this book! I purchased this book liking some of the recipes but I soon realized what a mistake it was. Not only dose the book barely go into detail about what you'll need for each recipe but most of the recipes in the book you can make yourself. You dont need a recipe to tell you how to make nachos.,negative,dont buy dont buy book purchase book like recipe soon realize mistake not dose book barely go detail need recipe recipe book make dont need recipe tell make nacho
"painfully shallow and annoying: I stopped reading this book way before the end because I could no longer stand the pretentious and self obsessed author. The book is less plotand more of the author's ode to self. I wasted my money on this book. It is so boring. Unless you care about how smart the author thinks she is, what books she has read, how attractive she thinks she is, ect. then don't buy this book. I am disgusted by her arrogance. I am shocked anyone could possibly find her attractive or interesting at all, much less as much as she herself does. I would not recommend this book to anyone.",negative,painfully shallow annoy stop read book way end could no longer stand pretentious self obsess author book less plotand author ode self waste money book bore unless care smart author think book read attractive think ect buy book disgust arrogance shock anyone could possibly find attractive interesting much less much would not recommend book anyone
Starrett 734: It would be nice if I would have actually received a Starrett 734 mic as the description states. Instead I received a Starrett 3734 which is a cheaper copy of what I was supposed to get. I am very unhappy with the product I received.,negative,starrett would nice would actually receive starrett mic description state instead receive starrett cheap copy suppose get unhappy product receive
"Very cool and great to get kids interested in physics: Works like it says. We were able to keep the top up for about 4 hours until we had to take it down. Living in a small apartment has it's drawbacks. Great for an office and still mind boggling when ""observing"" the unseen forces at a later date. Don't get frustrated and be persistent until you get the perfect balance. It's well worth it!!",positive,cool great get kid interested physic work like say able keep top hour take live small apartment drawback great office still mind boggle observe unseen force later date get frustrate persistent get perfect balance well worth
"Superb Figure: This is an excellent sculpt of Thor in one of his armored periods, the joints are good, with none of them being loose out of the package. The figure makes an excellent addition to my Marel collection.",positive,superb figure excellent sculpt thor one armor period joint good none loose package figure make excellent addition marel collection
"second time's the charm: The first week after i got it it worked wonders. Then the person you were talking to couldn't here you. I called the tech support line and they triend to figure out what was wrong, they couldn't. So i sent it back to Plantronics(because the telephone comes w/ a 2 year waranty) and they sent me a new one no questins asked. I was really surprized w/ their cooperation. The second one has working for about a month now.",positive,second time charm first week get worked wonder person talk call tech support line triend figure wrong send back plantronics telephone come year waranty send new one no questins ask really surprized cooperation second one work month
"The Miracle of Life: I love this National Geographic special! I have cable so I got to see it for free and I watched it over and over. Before watching this I wasn't sure when I was ever going to be ready to be a mommy. Now, I look forward to sharing this miracle with my husband :)Anyways, I digress, the film is great. It's amazing how they have these images that look like it's from within the womb. In fact, sometimes it really is, at least the special on multiple births is.",positive,miracle life love national geographic special cable get see free watch watch sure ever go ready mommy look forward share miracle husband anyways digress film great amazing image look like within womb fact sometimes really least special multiple birth
"Has technical merit but characters are awful: Carl Sagan has done a good job of popularizing a sciences such as astronomy and physics and making them accessible to non-scientists like myself. The plot in the book is sort of cool but it just seem overly simplistic.Also, the characters were AWFUL. Just devices to carry the plot. I found myself not caring about a single one of them. Some of them were downright ridiculous. I'm glad that generally, Sagan stuck to non-ficton.There's better stuff out there.",negative,technical merit character awful carl sagan do good job popularize science astronomy physic make accessible non scientist like plot book sort cool seem overly simplistic also character awful device carry plot find not care single one downright ridiculous glad generally sagan stuck non ficton well stuff
"The Only Book You Need To Read: If there is one book that you need to read, this is it. It doesn't matter if you are a true spiritual seeker, just starting on your spiritual path or just curious, Petals of Grace is for you. Sai Maa's shakti(energy) is in every word, and you can't help but breathe it in. You can experience and know the joy, peace and truth of who you really are from reading this book.",positive,book need read one book need read matter true spiritual seeker start spiritual path curious petal grace sai maa shakti energy every word help breathe experience know joy peace truth really read book
"Edgar Winner???: I am always looking for new authors and was drawn to this book because of its status as an Edgar Winner. As I was yawning into page 250, I was wondering exactly when this book was ever going to be interesting, or, in fact, if there was a plot. This book was a waste of time and money. What in the world were the Edgar Award people thinking.",negative,edgar winner always look new author draw book status edgar winner yawn page wonder exactly book ever go interesting fact plot book waste time money world edgar award people think
"my favorite: I first saw this movie a long time ago and it was not soon forgoten. I couldn't find it anywhere, or remember the title until i saw it on TNT (an old movie network) where i taped it and watch it often. It is one of my favorite movies of all times...it totally deserves 5 stars!",positive,favorite first saw movie long time ago not soon forgoten find anywhere remember title saw tnt old movie network tap watch often one favorite movie time totally deserve star
"Lightsaber Action!: This game is absolutly the best game I have ever seen! there is a little bit of violence, but most of the time you kill droids, not humans. My favorite weopon is the lightsaber, because you can deflect laser blasts.",positive,lightsaber action game absolutly best game ever see little bit violence time kill droids not human favorite weopon lightsaber deflect laser blast
"Do not recommend included parts with purchase: Its not that I do not like the kit. I am furious at Amazon for recommending I buy this when it comes with the Jetboil Sol Ti. Turns out it comes with any Jetboil Flash or above. I absolutely love my Jetboil, best small camp stove I have ever had, and in fact I use it at home to boil water for tea since it is so fast. My advice is to order you Jetboil and wait on any accessory purchases to make sure that you need them.",negative,not recommend included part purchase not not like kit furious amazon recommend buy come jetboil sol ti turn come jetboil flash absolutely love jetboil best small camp stave ever fact use home boil water tea since fast advice order jetboil wait accessory purchase make sure need
"THIS DVD HAS ORIGINAL AND SEQUEL ON IT- 3 HOURS!: I recently purchased the DVD ""Betty Broderick: A Woman Scorned"", as I have enjoyed this well acted movie on the Lifetime Channel.To my surprise, this DVD has two movies on it. The first movie of the Betty Broderick story ""A Woman Scorned"" and the Sequel called ""Her Final Fury"". A total of 3 hours on this DVD! I also noticed that there is a special section on the DVD where you can see the real Betty Broderick and watch some of her actual testimony at the murder trial. Very interesting. I recommend this DVD highly. This is for anyone who enjoys movies bases on real life incidents, crimes and murders.",positive,dvd original sequel hour recently purchase dvd betty broderick woman scorn enjoy well acted movie lifetime channel surprise dvd two movie first movie betty broderick story woman scorn sequel call final fury total hour dvd also notice special section dvd see real betty broderick watch actual testimony murder trial interest recommend dvd highly anyone enjoy movie base real life incident crimes murder
"Doug Moo moo moved me: Bought this as a resource for our Bible Studies look at James. Already had Moyter's commentary, this one has a less devotional, more technical feel. Accessible, deep, a def resource for our study.",positive,doug moo moo move bought resource bible study look james already moyter commentary one less devotional technical feel accessible deep def resource study
"awful: the material was awful, felt like plastic and my son hated them, couldn't return these jeans fast enough and replace them with a better pair",negative,awful material awful felt like plastic son hat return jean fast enough replace good pair
"Loosing Greating Message all the time: Regardless of replacing the 9V Battery almost once a week, this machinekeeps loosing the Greeting Message all the time.Voice Quality is also not very good.",negative,loose greating message time regardless replace battery almost week machinekeeps loose greet message time voice quality also not good
Total waste of money: This is junk! I can't believe I wasted my money. The adhesive gums up and doesn't even stick to your pics or scrapbook material.,negative,total waste money junk believe waste money adhesive gum even stick pic scrapbook material
Not such a great book about great individuals: I found Hirsh's writing style choppy and at times the transitions between chapters and topics were confusing. Overall None Braver was a poor presentation of material that could have been informative and entertaining--which it was only slightly of both. I recommend you read something else on PJs. They deserve better.,negative,not great book great individual find hirsh write style choppy time transition chapter topic confuse overall none braver poor presentation material could informative entertain slightly recommend read something else pjs deserve well
"Peggy Cappy is the Best!: Peggy Cappy is a wonderful yoga instructor, especially for people over 50. Her videos show gentle yoga that anyone can do without fear of hurting themselves if they follow her instructions. I am so pleased to have ""found"" her.",positive,peggy cappy best peggy cappy wonderful yoga instructor especially people videos show gentle yoga anyone without fear hurt follow instruction please found
"Who sets the prices on this stuff???: I bought this on paperback a little while back, and thought it was a good read. Since I plan to get my sister a Kindle for her birthday, I thought I'd gift this with it. Then I noticed something: THE KINDLE VERSION IS ALMOST TWICE AS EXPENSIVE AS THE PAPERBACK VERSION!!!The cost of a printed book includes the price of making the paper, printing, binding, packaging for retail distribution, and in Amazon's case, packaging and shipping to the customer. The cost of an eBook includes NONE OF THIS, and the cost of hosting and bandwidth for distribution of each eBook, especially when divided into the massive number sold by Amazon, is nothing compared to the printing costs mentioned above. Right now, I do NOT plan to purchase this along with my sister's Kindle. In fact, as this seems to be a growing trend on Amazon, I may decide not to get her a Kindle at all.",negative,set price stuff buy paperback little back thought good read since plan get sister kindle birthday think gift notice something kindle version almost twice expensive paperback version cost print book include price make paper printing bind packaging retail distribution amazon case packaging ship customer cost ebook include none cost hosting bandwidth distribution ebook especially divide massive number sell amazon nothing compare printing cost mention right not plan purchase along sister kindle fact seem grow trend amazon may decide not get kindle
Excellant: A very good laptop webcam. It works really well and has never stalled or frozen on me. It also records and takes pictures. Its cost effective here and perfect for a laptop for a new user.,positive,excellant good laptop webcam work really well never stall frozen also record take picture cost effective perfect laptop new user
"quilts of gee's bend: awesome book.... incredible story .....if u are into quilts this is an unbelievable book..... some one gave me a pattern and fabric adapted, from one of the quilts in this book.... i just loved this book......",positive,quilt gee bend awesome book incredible story quilt unbelievable book one give pattern fabric adapt one quilt book love book
Not what I wanted: I guess I didn't read close enough or something because I expect the solid ringed droppings but these are on a roll and have to be stretched over the mouth of the bottle. I used them because I would throw them away and they couldn't be returned since the box arrived very damaged(purchased with many other things and amazon didn't pack well) but I would never ever buy these again they were a huge pain.,negative,not wanted guess read close enough something expect solid ringed droppings roll stretch mouth bottle use would throw away return since box arrive damage purchase many thing amazon pack well would never ever buy huge pain
"THIS CD IS THE BEST!!: THIS CD IS TOO GOOD FOR WORDS. ITS AWESOME SKA/PUNK, AND I THINK LTJ IS THE BEST BAND EVER. IT HAS AWESOME SONGS LIKE JOHNNY QUEST THINKS WE'RE SELLOUTS, HAPPYMAN, AND AUTOMATIC. IF YOU ARE GOING TO BUY A SKA CD, MAKE IT LESS THAN JAKE. AND IF YOU'RE GOING TO BUY A LTJ CD, MAKE IT LOSING STREAK.",positive,cd best cd good word awesome ska punk think ltj best band ever awesome song like johnny quest think sellouts happyman automatic go buy ska cd make less jake go buy ltj cd make losing streak
"A kindle book you can't read on a kindle?: So, a kindle book you can't read on a kindle. I just don't understand..It makes no sense that you can only read this on the kindle app for the Mac or Pc. Somebody please explain.",negative,kindle book read kindle kindle book read kindle understand make no sense read kindle app mac pc somebody please explain
Premature Failure Poor Customer Support: I purchased the Soleus and it quit drawing water from the air in the first 6 mos. The Soleus service rep chuckled as she advised me to just buy a new one since shipping and minimum service charges would be substantial [...] bucks plus when you throw in the parts - like how else can you fix it - without parts? I since bought a Frigidaire with a five year warranty on the sealed system and it works fine - albeit a bit noisy vs Soleus. I hauled the Soleus to the dump and promptly threw it in the junk appliance area where it belongs.,negative,premature failure poor customer support purchase soleus quit draw water air first mos soleus service rep chuckle advised buy new one since ship minimum service charge would substantial buck plus throw part like else fix without part since bought frigidaire five year warranty seal system work fine albeit bit noisy v soleus haul soleus dump promptly throw junk appliance area belongs
Extras that make a difference: I purchased an easel for my granddaughter for Christmas. I also purchased pads of easel paper and the deluxe companion easel set from Melissa & Doug. The purchases arrived in speedy time and were overpackaged so there was no need to worry about anything breaking. The paper and art supplies arrived just as advertised. I am so happy that I bought the companion set. My granddaughter was able to use her easel immediately rather than running to the store for crayons & paint & brushes. There's much less mess because each paint brush has a cup with matching color lid. My daughter-in-law says it was an excellent purchase!,positive,extra make difference purchase easel granddaughter christmas also purchase pad easel paper deluxe companion easel set melissa doug purchase arrive speedy time overpackaged no need worry anything breaking paper art supply arrive advertised happy buy companion set granddaughter able use easel immediately rather run store crayon paint brush much less mess paint brush cup match color lid daughter law say excellent purchase
This bag is a fake!: Please research the brand and know what to look for when you buy designer bags. This one pictured is a fake. Louis Vuitton did not make this bag and does not hang any tags from the bag like this. The speedy does not have any pockets on the side either.,negative,bag fake please research brand know look buy designer bag one pictured fake louis vuitton not make bag not hang tag bag like speedy not pocket side either
"didnt work: received this item yesterday - trust me it is a quality items i was expecting a junky piece of plastic but it is just as you would remember from back in the day. i was very happy to get it but it did not work properly. people couldn't hear me so i am trying to exchange it today - i hope im not dissapointed in its replacement. i will let you all know when i get the new one. 4/20/11 Well im back - i received my replacement phone and unfortunately, it does not work. This one seems as im talking in a tunnel and the people i call say i sound like im far away. it is a shame, i love the phone. i will have to find another brand / provider to get what i need.",negative,didnt work receive item yesterday trust quality item expect junky piece plastic would remember back day happy get not work properly people hear try exchange today hope im not dissapointed replacement let know get new one well im back receive replacement phone unfortunately not work one seem im talk tunnel people call say sound like im far away shame love phone find another brand provider get need
"Disappointment: This book was such a disappointment. It was too short, the plot was incredibly transparent, and the romance was clumsy. And at the end, frankly, I think Tony Hillerman just lost a large portion of his female fans.",negative,disappointment book disappointment short plot incredibly transparent romance clumsy end frankly think tony hillerman lose large portion female fan
"Life is just an edless waltz: Endless waltz is an awsome movie. the special edition DVD includes the OVA episiodes of the movie, it also includes a mobel suit encyclopedia and is veiwable in mutiple languages. It has the same voices as in the show(english version anyways). If you saw this on the cartoon network or YTV(people in canada), then you might have thought that it was very heavly edited, the truth is that it wasn't. sure commercials but thats about it. BUT, if you only saw it once, than you probobly didn't catch it all at once. Its a great DVD packed with loads of stuff that will make this a great movie from begining to end.",positive,life edless waltz endless waltz awsome movie special edition dvd include ova episiodes movie also include mobel suit encyclopedia veiwable mutiple language voice show english version anyways saw cartoon network ytv people canada might think heavly edit truth sure commercial thats saw probobly catch great dvd pack load stuff make great movie begin end
